DATE,M,S,BL,D2M,LAIH,LAII,SP,T2M,PREC,U10,V10,AOD,PM25lag2,PM25lag,PM25
2013-03-01,3,2,1154.512139,272.9557278,2.438847579,0.493286183,83133.59022,285.971189,4.74E-06,-1.373854419,1.083188825,0.498000024,56,82,78
2013-03-02,3,2,658.0959524,275.8317615,2.439699575,0.49377468,83186.66572,283.8203644,8.01E-05,1.160111553,-1.637114956,0.807000038,77,56,82
2013-03-03,3,2,694.0329326,268.5477364,2.440432688,0.494384471,83618.75684,285.2265779,0,0.901543597,-2.250541429,0.124000006,69,77,56
2013-03-04,3,2,350.7468147,272.3073392,2.441284684,0.494750844,83339.23698,284.7926324,1.57E-04,-1.915461942,-1.365683892,0.463000022,65,69,77
2013-03-05,3,2,224.5066537,278.958742,2.442017797,0.495239342,82770.04802,283.6642098,8.42E-04,-1.188008701,-0.672993362,,54,65,69
2013-03-06,3,2,657.9284141,273.5568175,2.44275091,0.495727839,82973.19907,281.3095624,2.48E-05,-0.14473317,-2.85198163,,74,54,65
2013-03-07,3,2,370.2650347,269.0752501,2.443602907,0.496215506,83649.87006,272.7366733,3.33E-05,1.339954802,-0.529738078,,90,74,54
2013-03-08,3,2,668.4833313,266.8101601,2.444336019,0.496581879,83618.75684,275.4718449,0,1.929812952,0.139173235,0.147000007,106,90,74
2013-03-09,3,2,210.1821232,269.2164898,2.445188016,0.496948252,83414.10837,276.8797021,1.14E-05,-0.569985112,-0.025348015,,95,106,90
2013-03-10,3,2,573.405307,274.8115513,2.445921129,0.4971925,82924.94861,281.0194435,3.83E-06,0.911009031,0.304854448,0.756000036,92,95,106
2013-03-11,3,2,1014.533832,273.801195,2.446773125,0.497558873,82805.15439,280.8065801,3.83E-06,2.880281056,-0.35671044,0.377000018,84,92,95
2013-03-12,3,2,909.9061209,271.9716486,2.447506238,0.497924415,83051.39807,285.115626,0,2.141515466,-1.343644617,0.142000007,90,84,92
